Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,About,URL Pic,URL Trailer
Street Fighter V,PS4,2016,Fighting,Capcom,0.42,0.28,0.09,0.15,0.94,77,80,3.4,1233,T,"The legendary fighting franchise returns with STREET FIGHTER® V! Stunning visuals depict the next generation of World Warriors in unprecedented detail, while exciting and accessible battle mechanics deliver endless fighting fun that both beginners and veterans can enjoy. ",http://www.geek.com/wp-content/uploads/2016/01/Street-Fighter-V-console-exclusive-box-art.jpg,http://cdn.edgecast.steamstatic.com/steam/apps/256679327/movie480.webm?t=1486680022
Far Cry: Primal,XOne,2016,Action,Ubisoft,0.5,0.35,0,0.08,0.94,77,27,6.4,199,M,"Welcome to the Stone Age, a time of extreme danger and limitless adventure, when giant mammoths and sabretooth tigers ruled the Earth and humanity is at the bottom of the food chain. As the last survivor of your hunting group, you will learn to craft a deadly arsenal, fend off fierce predators, and outsmart enemy tribes to conquer the land of Oros and become the Apex Predator.",http://static.metacritic.com/images/products/games/6/df1dac5ccf4511000508ad543ae8b970.jpg,http://cdn.edgecast.steamstatic.com/steam/apps/256660809/movie480.webm?t=1456871116
Dragon Ball: Xenoverse 2,PS4,2016,Action,Namco Bandai Games,0.29,0.38,0.1,0.13,0.91,72,57,7.7,123,T,DRAGON BALL XENOVERSE 2 builds upon the highly popular DRAGON BALL XENOVERSE with enhanced graphics that will further immerse players into the largest and most detailed Dragon Ball world ever developed.,http://cdn.edgecast.steamstatic.com/steam/apps/454650/header.jpg?t=1488295449,http://cdn.edgecast.steamstatic.com/steam/apps/256673245/movie480.webm?t=1477525330
Titanfall 2,XOne,2016,Shooter,Electronic Arts,0.58,0.23,0,0.08,0.9,87,31,8,279,M,"Jack Cooper, a class three rifleman in the Militia, aspires to one day become a Titan Pilot for the Militia, and is receiving off-the-books training from Captain Tai Lastimosa in preparation for Cooper's candidacy. ",http://www.gameplay.si/media/catalog/product/7/1/71cek1o45ll._sl1000_.jpg,https://youtu.be/EXwdWuSuiYA
Lego Star Wars: The Force Awakens,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.19,0.55,0.01,0.14,0.89,78,61,7.5,91,E10+,"Play as all of the characters from the movie, including Rey, Finn, Poe Dameron, Han Solo, Chewbacca, C-3PO, and BB-8, as well as Kylo Ren, General Hux and Captain Phasma.",https://s4.thcdn.com/productimg/600/600/11245452-1174365058418115.jpg,http://cdn.edgecast.steamstatic.com/steam/apps/256660456/movie480.webm?t=1458847589
Farming Simulator 17,PC,2016,Simulation,Focus Home Interactive,0.04,0.77,0,0.05,0.86,68,11,7.9,21,E,"Take on the role of a modern farmer in Farming Simulator 17! Immerse yourself in a huge open world loaded with new content: new environment, vehicles, animals, crops and gameplay mechanics!",http://cdn.edgecast.steamstatic.com/steam/apps/447020/header.jpg?t=1490889614,http://cdn.edgecast.steamstatic.com/steam/apps/256673177/movie480.webm?t=1478076750
LEGO Marvels Avengers,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.28,0.4,0.01,0.13,0.82,71,70,7,87,E10+,Play as the most powerful Super Heroes in their quest to save the world.,http://images.pushsquare.com/games/ps4/lego_marvels_avengers/cover_large.jpg,http://cdn.edgecast.steamstatic.com/steam/apps/256658192/movie480.webm?t=1450453197
WWE 2K17,PS4,2016,Sports,Take-Two Interactive,0.22,0.45,0,0.13,0.8,69,51,6.9,93,T,"Welcome to Suplex City, courtesy of cover Superstar Brock Lesnar! WWE 2K17 returns as the reigning, defending, champion of fighting video games!",https://static.raru.co.za/cover/2016/06/09/4766813-l.jpg?v=1478082579,http://cdn.edgecast.steamstatic.com/steam/apps/256679014/movie480.webm?t=1486402544
Mafia III,XOne,2016,Action,Take-Two Interactive,0.34,0.33,0,0.06,0.73,67,21,4.6,286,M,"It’s 1968 and after years of combat in Vietnam, Lincoln Clay knows this truth: family isn’t who you’re born with, it’s who you die for. Now back home in New Bordeaux, Lincoln is set on escaping a criminal past. But when his surrogate family, the black mob, is betrayed and wiped out by the Italian Mafia, Lincoln builds a new family on the ashes of the old and blazes a path of military-grade revenge through those responsible. Intense gun fights, visceral hand-to-hand combat, white knuckle driving and street smarts will all be needed. But with the right crew, tough decisions and some dirty hands, it’s possible to make it to the top of the city's underworld.",http://image.jeuxvideo.com/medias/146583/1465829529-1429-jaquette-avant.jpg,http://cdn.edgecast.steamstatic.com/steam/apps/256682200/movie480.webm?t=1490751535
Watch Dogs 2,XOne,2016,Action,Ubisoft,0.33,0.31,0,0.06,0.7,83,10,7.5,160,M,"Play as Marcus Holloway, a brilliant young hacker living in the birthplace of the tech revolution, the San Francisco Bay Area.",http://images.livrariasaraiva.com.br/imagemnet/imagem.aspx/?pro_id=9384447&qld=90&l=430&a=-1,http://cdn.edgecast.steamstatic.com/steam/apps/256675152/movie480.webm?t=1479834207
